subj_idx,response,rt,phase
AL8,1,1.369922,0
AL8,0,0.7392430000000001,0
AL8,1,0.521451,0
AL8,1,1.045698,0
AL8,0,2.053511,0
AL8,1,1.369906,0
AL8,0,1.924483,0
AL8,1,1.419102,0
AL8,1,1.8398530000000002,0
AL8,1,0.394363,0
AL8,0,3.2437020000000003,0
AL8,1,0.374247,0
AL8,1,1.7597930000000002,0
AL8,0,1.86715,0
AL8,1,1.010764,0
AL8,1,0.961577,0
AL8,0,0.6207280000000001,0
AL8,1,1.390742,0
AL8,0,0.64924,0
AL8,1,0.475157,0
AL8,0,0.705314,0
AL8,0,0.390541,0
AL8,0,1.2917239999999999,0
AL8,0,0.406779,0
AL8,0,0.438676,0
AL8,1,2.465437,0
AL8,0,0.45166000000000006,0
AL8,0,0.553185,0
AL8,0,0.501947,0
AL8,0,0.523611,0
AL8,0,0.391608,0
AL8,1,2.505052,0
AL8,0,1.468352,0
AL8,0,2.290226,0
AL8,0,1.36404,0
AL8,0,1.079126,0
AL8,0,0.9421080000000001,0
AL8,0,1.18487,0
AL8,0,2.0529,0
AL8,0,2.956109,0
AL8,1,1.326843,0
AL8,1,2.202662,0
AL8,0,1.447482,0
AL8,1,0.574879,0
AL8,0,0.7140890000000001,0
AL8,1,0.6409320000000001,0
AL8,0,1.100185,0
AL8,0,0.550729,0
AL8,0,0.725795,0
AL8,0,1.937135,0
AL8,1,1.531026,0
AL8,1,1.889566,0
AL8,1,0.398069,0
AL8,1,1.1632500000000001,0
AL8,1,2.4030650000000002,0
AL8,0,3.2839400000000003,0
AL8,0,1.432763,0
AL8,1,1.54948,0
AL8,1,0.434084,0
AL8,1,1.602055,0
AL8,1,0.8670740000000001,0
AL8,0,2.9645010000000003,0
AL8,0,0.7011370000000001,0
AL8,1,0.804755,0
AL8,1,0.448789,0
AL8,0,1.174234,0
AL8,1,0.853573,0
AL8,1,1.1555050000000002,0
AL8,0,1.7817880000000001,0
AL8,1,0.42308300000000004,0
AL8,1,1.734733,0
AL8,0,1.820501,0
AL8,0,0.40200400000000003,0
AL8,0,0.779582,0
AL8,1,1.560707,0
AL8,1,1.755846,0
AL8,0,0.877914,0
AL8,1,0.6661560000000001,0
AL8,0,0.384238,0
AL8,1,2.235772,0
AL8,1,1.45583,0
AL8,1,0.930548,0
AL8,0,0.599601,0
AL8,0,0.382558,0
AL8,1,0.472542,0
AL8,0,1.6257730000000001,0
AL8,0,2.061384,0
AL8,1,0.593994,0
AL8,1,1.616434,0
AL8,0,1.509654,0
AL8,1,0.9677290000000001,0
AL8,0,0.931716,0
AL8,0,3.1142980000000002,0
AL8,1,0.69174,0
AL8,0,1.70565,0
AL8,1,1.6198160000000001,0
AL8,0,1.518258,0
AL8,0,0.748129,0
