subj_idx,response,rt,phase
AL13,1,0.966856,-1
AL13,1,0.5664969999999999,-1
AL13,1,0.8776320000000001,-1
AL13,1,0.996499,-1
AL13,1,0.550759,-1
AL13,1,0.9889310000000001,-1
AL13,0,0.743298,-1
AL13,1,1.2887680000000001,-1
AL13,1,1.5899349999999999,-1
AL13,1,0.9598240000000001,-1
AL13,1,1.6510989999999999,-1
AL13,1,0.746384,-1
AL13,1,0.8560180000000001,-1
AL13,1,1.057904,-1
AL13,1,1.181947,-1
AL13,1,1.6684620000000001,-1
AL13,1,1.689546,-1
AL13,0,1.3722960000000002,-1
AL13,1,0.608548,-1
AL13,1,1.735621,-1
AL13,1,1.2766590000000002,-1
AL13,1,1.143511,-1
AL13,1,1.115886,-1
AL13,1,1.4299439999999999,-1
AL13,1,1.273671,-1
AL13,1,1.0640520000000002,-1
AL13,1,1.177971,-1
AL13,1,3.274179,-1
AL13,1,0.785237,-1
AL13,1,1.163444,-1
AL13,1,0.73899,-1
AL13,1,1.545635,-1
AL13,1,1.80912,-1
AL13,1,0.8423870000000001,-1
AL13,0,1.4402220000000001,-1
AL13,1,1.0608689999999998,-1
AL13,1,1.365644,-1
AL13,1,1.363818,-1
AL13,0,2.223848,-1
AL13,1,0.889595,-1
AL13,1,1.112167,-1
AL13,1,0.980346,-1
AL13,1,1.738481,-1
AL13,1,1.935605,-1
AL13,0,0.356513,-1
AL13,1,1.479835,-1
AL13,1,1.167576,-1
AL13,1,1.350482,-1
AL13,1,0.690303,-1
AL13,1,1.478075,-1
AL13,0,1.475846,-1
AL13,0,0.7082430000000001,-1
AL13,0,0.396027,-1
AL13,1,1.047752,-1
AL13,1,1.37609,-1
AL13,1,1.2909750000000002,-1
AL13,1,0.881213,-1
AL13,0,2.2153620000000003,-1
AL13,1,2.242637,-1
AL13,1,1.799473,-1
AL13,1,1.3541210000000001,-1
AL13,1,1.382503,-1
AL13,0,0.396293,-1
AL13,0,1.3537750000000002,-1
AL13,1,1.195482,-1
AL13,1,1.486018,-1
AL13,1,1.725257,-1
AL13,0,2.071499,-1
AL13,1,1.5763099999999999,-1
AL13,1,1.239387,-1
AL13,1,1.348303,-1
AL13,1,0.9269200000000001,-1
AL13,1,1.613348,-1
AL13,0,1.106936,-1
AL13,1,0.5291,-1
AL13,1,1.4023790000000003,-1
AL13,1,1.575777,-1
AL13,1,1.4753530000000001,-1
AL13,1,1.5380810000000003,-1
AL13,0,1.4223080000000001,-1
AL13,1,1.344024,-1
AL13,1,0.904595,-1
AL13,1,1.30536,-1
AL13,1,1.006547,-1
AL13,1,0.7758189999999999,-1
AL13,1,1.1781949999999999,-1
AL13,0,1.594038,-1
AL13,1,0.612182,-1
AL13,1,0.721253,-1
AL13,1,1.258601,-1
AL13,1,1.19391,-1
AL13,1,0.716529,-1
AL13,1,1.428204,-1
AL13,1,0.7345090000000001,-1
AL13,1,1.3807690000000001,-1
AL13,1,1.070421,-1
AL13,1,2.5815370000000004,-1
AL13,1,0.776916,-1
AL13,1,2.3230410000000004,-1
AL13,1,1.8324310000000001,-1
AL13,1,1.082906,-1
AL13,1,1.101528,-1
AL13,1,1.0209920000000001,-1
AL13,1,1.213376,-1
AL13,1,1.175456,-1
AL13,1,1.321225,-1
AL13,1,1.201588,-1
AL13,1,0.918722,-1
AL13,0,1.851472,-1
AL13,1,1.129706,-1
AL13,1,0.971189,-1
AL13,0,0.630028,-1
AL13,1,0.9357390000000001,-1
